uri,text,handle,labels,like_count,quote_count,repost_count,sentiment
at://did:plc:m6y7jchzukoku3hkegldoc6p/app.bsky.feed.post/3lbydmqfxrk24,"He didn’t do that, unsafe practices in the 2 years prior caused the population to not trust vaccines.
It’s like you live in a bubble.
Demanding safe vaccines is a GOOD thing. Holding big pharma accountable is GOOD.",kristarichardson.bsky.social,[],0,0,0,0.8428
at://did:plc:orq6bmer77eu7sl7c65jdrmu/app.bsky.feed.post/3lbydcvhpuk2v,So another 2 million people are going to die and still they will declare vaccines are bad 🤦‍♀️,crazyboomer.bsky.social,[],1,0,0,-0.8126
at://did:plc:7fqqj5ass6hrclu5dfmm7nuf/app.bsky.feed.post/3lbydbiyltc2w,"Vaccines are old news. Let's cut to the chase and get to the important issue.

I'd like to know about RFK's plans to get bear meat into school lunches. Also, perhaps older students could learn proper tagging of bear road kill so they can be responsible citizens & not dump dead bears in Central Park.",sheeple-herder.com,[],0,0,0,0.5308
at://did:plc:z5suau4mw3hms72ybitw4sa6/app.bsky.feed.post/3lbydan2aos2l,"And in contrast to my last post... 

Vaccines are one place where we need to overcome distrust of the medical establishment, even if it's rational.",wescontreras.com,[],0,0,0,-0.4215
at://did:plc:taigqtxtb373uuz4ayohd74a/app.bsky.feed.post/3lbyda6mbic22,"I can’t think of any other vaccine linked to myocarditis in kids. I would be interested to see info on that. Viruses yes..other vaccines, pretty sure no.",destroymysweater.bsky.social,[],0,0,0,0.802
at://did:plc:hcukbzkcx7cnynq34josyl5i/app.bsky.feed.post/3lbyd7l7eds2c,"He’s aiming for a quadrella…peace for Gaza and Ukraine; medicine for proving the inherent fallacy of vaccines and the medical power of prayer; economics for proving that all of Economics 101 is all wrong; Literature for his social media commentary…not Chemistry or Physics, cause they rely on facts",maynot432.bsky.social,[],1,0,0,-0.4767
at://did:plc:oodmjibakp22r4mjilfgzn7h/app.bsky.feed.post/3lbyd6xgt522f,"RFK jr, like many Dem defectors, has been smeared purely for questioning the Dem establishment.

Since when was asking for high safety standards and corporate liability for vaccines, an anti-vaccine sentiment?

If you want safety tests for cars, you aren’t anti-vehicle.

It’s obvious propaganda.",demosthenys.bsky.social,[],0,0,0,0.3862
at://did:plc:uarqkku2nrjcozstgpjvwmod/app.bsky.feed.post/3lbyd2yszvs2q,"sorry rfk ""vaccines are poison"" jr self-medicated his adhd by DOING GOD DAMN HEROIN?!?!?!?

like bro if that works for you go for it i don't even care but YOU DO NOT GET TO BE A HEALTH SCOLD EVER ABOUT ANYTHING IF YOU ARE ALSO TALKING ABOUT HOW BEING ON HEROIN MADE YOU A BETTER STUDENT",ultralaser.bsky.social,[],9,0,1,-0.9211
at://did:plc:4jlpmmee26iem4yx5ytiruds/app.bsky.feed.post/3lbyd2lll4s2i,"If a tree falls in the woods, and there’s no one there to hear it….  If we are missing asymptomatic, self limiting cases of myocarditis, what would be the harm?   Plenty of viruses and other vaccines do the same.  This isn’t a unique risk to Covid or Covid vaccines.",doctorleroy.bsky.social,[],0,0,0,-0.8402
at://did:plc:u3bxazafanvnllvy7z3c6aux/app.bsky.feed.post/3lbycujtgtc2g,"It's one of my biggest fears, 7 grandchildren 1 daughter who doesn't believe in vaccines 😖
On this I TRULY failed",pfalcon.bsky.social,[],1,0,0,-0.3542
at://did:plc:iawnahlnh6ofio5y267jcppt/app.bsky.feed.post/3lbyctkcgqk2y,"This sounds like good advice. And if there is anything other than vaccines which MAGAs will die before taking, it’s good advice.",mk-indy.bsky.social,[],3,0,0,0.5267
at://did:plc:wllbjl2xvcjuamk2grxncs2p/app.bsky.feed.post/3lbyclphs7c2a,"Under RFK Jr.’s HHS, you can skip vaccines that save lives, but don’t you dare try to buy Skittles. Because nothing screams ‘health freedom’ like banning candy while promoting preventable diseases. #Logic #RFKjr #blacksky",paulwinfield2.bsky.social,[],1,0,0,0.873
at://did:plc:utsbnt5s5r6o44gvr4x6kqwz/app.bsky.feed.post/3lbyckcieok22,"The people that joined him are seeing illusions, living in an alternate reality. No education, no parenting, no vaccines, isolation with only certain groups, no traditions such as baptism, living life sheltered by Medicaid and food stamps. They do believe in gunslinging and killing trans people.",fairyg.bsky.social,[],0,0,0,-0.3952
at://did:plc:vnjoafhawnecbyjfbabzeqn5/app.bsky.feed.post/3lbycjjikwk2m,"I'm 
 Left
 Polytheist
 Childfree
 Married 
 Trying
 Foul-mouthed 
 Loved",inkysgrrl.bsky.social,[],2,0,0,0.5994
at://did:plc:rtpe7joik65s7y3dlzjxr63b/app.bsky.feed.post/3lbycivbktc2c,"And yet if someone were to say the same about him, since he tried bribing swing state voters to vote Trump and spread misinformation about politics, about vaccines and autism, suddenly we're a mob and abusing him #HypocrisyonMain",existasresistance.bsky.social,[],0,0,0,-0.6486
at://did:plc:2yzi7eldubqphvtoxfnpf3tq/app.bsky.feed.post/3lbychesc7c2q,Unless you have a valid medical reason for not taking the vaccines they are safe. There is even a non Mrna vaccine.,bomberfox.bsky.social,[],0,0,0,0.4404
at://did:plc:lxncaml25yhaxcjnqh3rffik/app.bsky.feed.post/3lbycfounis2z,Many plain people don't do vaccines. Which is sad for someone like me who medically can't get vaccines.,theorginalzether.bsky.social,[],0,0,0,-0.1531
at://did:plc:njbaygfyf2gve3zbcsswethe/app.bsky.feed.post/3lbycfgtkws22,"Got some vaccines today, glad I did but it took a lot out of me.",cutte.bsky.social,[],3,0,0,0.25
at://did:plc:4sow4kkqplorjbfpwvhaltjn/app.bsky.feed.post/3lbycfdww3s23,"We may be unable to even get flu vaccines next Winter. This crazy moron is going to cause the deaths of MILLIONS. 

To SHitler and First Lady Musk, this is probably a feature rather than a bug in their sociopathic plans to destroy America.",cousinit.bsky.social,[],2,0,0,-0.9011
at://did:plc:aecv4ejztgiv64dhygwopm2h/app.bsky.feed.post/3lbycewwor22x,New mpox vaccines for Congo's children held up by old problem,thirugeneva.bsky.social,[],1,0,1,-0.4019
at://did:plc:vuit6au3yykykv5iapz4vkma/app.bsky.feed.post/3lbyc6rkni223,"You'd really be amazed at how many people I've worked with who have an active intravenous drug addiction who refuse vaccines because ""I don't trust what they put in that stuff and don't want it in my body."" And they're serious.",countessdecarlo.bsky.social,[],0,0,0,0.1912
at://did:plc:pjnveocwy565qkmk32yt2jxs/app.bsky.feed.post/3lbyc3eqjqk2y,"Yes, but he exacerbated the pandemic losses due to massive graft & the pandemic & brief recession from it, along with large nat debt, lost him the election, so he didn't care after that. Biden rolling out the vax stole their glory, so then vaccines were bad. & OG anti-vaxxers jumped on that.",greenowl.bsky.social,[],0,0,0,-0.9472
at://did:plc:3z24cgnbmj2joqbvw73qojwa/app.bsky.feed.post/3lbyc2ccf6s2n,We all need to make sure we’re up to date on our vaccines. God knows what’s going to happen with vaccine availability once the felon and his clown show of an administration gets underway.,annaporia.bsky.social,[],2,0,0,0.5267
at://did:plc:oeveomr2zveuhnm4a6yrq3u2/app.bsky.feed.post/3lbyc22p6xk2r,"Perhaps Trump is planning on fixing Medicare and Social Security by letting RFK squash new Covid vaccines, thereby killing all the seniors.",thombray.bsky.social,[],0,0,0,-0.4588
at://did:plc:3l4cjumzm7p6khgzv42a2byy/app.bsky.feed.post/3lbybzzbi322s,"Says the man who was vaccinated as a child against all the diseases he claims can't be prevented by vaccines. 
But why does anyone listen to a man who has NO MEDICAL TRAINING AT ALL talk about vaccines?!?",pughugger.bsky.social,[],0,0,0,-0.6797
at://did:plc:ly4jj2m2voahjrxlvbiw7rzd/app.bsky.feed.post/3lbybyk6mds24,"I might be 1 of those. Black market vaccines coming, underground laboratories or worse",morpheus55.bsky.social,[],1,0,0,-0.4767
at://did:plc:kcw6mnayjjm366wa34eja3bd/app.bsky.feed.post/3lbybxviksc2n,"And if you’re hesitant about the mRNA vaccines, the Covid Novavax version uses similar methods to the flu shot focusing on the spike protein. The majority of my family plus my bf’s family took the Novavax one this year and we’ve noticed less fatigue than the mRNA ones we’ve had before.",hoihoisado.bsky.social,[],1,0,0,-0.6494
at://did:plc:kwb4cdyot773f636elkuu2ft/app.bsky.feed.post/3lbybuqpuek2q,Why? Those who refuse to take vaccines are endangering their lives and the lives of others.,soeurf.bsky.social,[],0,0,0,-0.296
at://did:plc:la5o2wrwb5nexgt5ae5nvtlc/app.bsky.feed.post/3lbybqyii5s26,"Another success story supporting the science behind vaccines! Probably not enough to change the minds of vaccine skeptics, but at least another ammunition for scientific world. 🧪",emreozkumur.bsky.social,[],1,0,0,0.5255
at://did:plc:7tektpcpz37auttdsg6kscpd/app.bsky.feed.post/3lbybonyjzk2p,Vaccines for the win.,raging-dee.bsky.social,[],0,0,0,0.5859
at://did:plc:ivjtepcp6jegdxkxuxav5a3q/app.bsky.feed.post/3lbybnpdne22w,"And that court only applies to vaccines recommended by the CDC, so if the regime decides to just...stop recommending vaccines...

Unfortunately, it's very easy for them to kill millions of kids...and older adults...",ninjafingers.bsky.social,[],1,0,0,-0.4779
at://did:plc:xg4x6nabaakgyklmrmfgdjk3/app.bsky.feed.post/3lbybhzxgy22p,"Boy how times have changed. 

  * November 1953: parents were cracking it that their kids couldn't get experimental vaccines

  * November 2024: parents are cracking it that their kids are getting thoroughly proven vaccines

pmc.ncbi.nlm.nih.gov/articles/PMC...",humansascode.bsky.social,[],0,0,0,0.0
at://did:plc:nkntx6o3k2wsjmh4qikhwjos/app.bsky.feed.post/3lbybhklxgs2h,"Despite Trump’s Operation Warpseed they booed him for. They’re his vaccines, really. It was only one of a few things he actually did very well with. To a point (not distribution wise).",renissance1.bsky.social,[],1,0,0,-0.0415
at://did:plc:4xjiy3ehbdzqbnuq5bzvo7m5/app.bsky.feed.post/3lbybhdkljk2c,"Thanks to vaccines, pestilence has been replaced by pollution, but probably waiting for a comeback",gardenandbooks.bsky.social,[],0,0,0,0.2382
at://did:plc:6zi3trahhiqmezhmjiafdmp3/app.bsky.feed.post/3lbybegg6i22j,Second only to his priority of banning most vaccines! 🤦🏼‍♀️,wichildlesscatlady.bsky.social,[],0,0,0,0.0
at://did:plc:pjlfw5ebq3hqxpbrqm4xfhrp/app.bsky.feed.post/3lbybdszyrk2y,"This isn't aimed at legitimate vaccine injured people who still advocate for vaccines, This is aimed at delusional fascists who want to stop vaccines for everyone because they think they're ""vaccine injured""

Eat shit",smollestbunny2.bsky.social,[],4,0,0,-0.8934
at://did:plc:4qw7yxdsy7lfvmq34pgdbwry/app.bsky.feed.post/3lbybalxaa227,"just went in and got all my vaccines as a lot of smart people have, let the creep do his worst hopefully the maggot fools get sicker than dogs",bigskynorth.bsky.social,[],1,0,0,-0.4404
at://did:plc:izh4pkn4lar2qsfyl2rw4y77/app.bsky.feed.post/3lbyba6xoes2n,Vaccines save lives,erikhalvorsen.bsky.social,[],2,0,1,0.4939
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lbyb7d2o7q2f,"@business: CSL has built a A$130 billion market cap on blood, vaccines and iron, becoming Australia's third biggest listed company.

This week's Bloomberg Australia podcast asks: what's next for the biotech company in a post-pandemic world?  https://t.co/O1A3ebE4u4",news-feed.bsky.social,[],1,0,0,0.0
at://did:plc:ewzjuac3zyimqgh7grnlxxjn/app.bsky.feed.post/3lbyb4rv63k2k,i wish vaccines actually did cause autism like rfk jr said so i could get super autism and like trains even more,hogrider69.bsky.social,[],1,0,0,0.891
at://did:plc:f4ff7a55pw2btzbhyt6eki3m/app.bsky.feed.post/3lbyazvxm7c2c,I have to admit it… yes the vaccines gave me autism,astrodog344.bsky.social,[],0,0,0,0.5423
at://did:plc:q3ohwobc3umxvcdbzurxg3gy/app.bsky.feed.post/3lbyayz33ak2t,"You administer vaccines with toxic deadly chemicals. You mutilate children in the name of gender conformity and kill babies in utero, declaring it reproductive health and rights.  Yeah I’m way fucking better than you’ll ever be.",proudmagasupporter.bsky.social,[],1,0,0,-0.079
at://did:plc:4jxisphgb3fdlyts67zq5e55/app.bsky.feed.post/3lbyawthi222i,"See, that’s why RFK Jr. is a genius. No vaccines, less likely to die of old age.",obiwinekenobi.bsky.social,[],2,0,0,-0.7037
at://did:plc:i7kvf5o6cvw4itu4g3sd6roi/app.bsky.feed.post/3lbyauc56m223,So my doc was at maximum  cringe whenever I came in for annual physicals because I'd expect an annual STI panel (like any normal functional sane adult would) and do things like request vaccines to prevent me from infecting a partner with something that could cause cervical cancer.,timberdoodlydoo.bsky.social,[],0,0,0,-0.0772
at://did:plc:jdccwbzbpzma7hyv7kn5y3el/app.bsky.feed.post/3lbyas7zt722i,"That's hilarious given how you lie about vaccines the existence of trans people, the seriousness that covid  is to human physiology, pollution, climate change and it's negative effects on humans. And the complete idiocy you possess in believing that billionaires care.",hellsonly.bsky.social,[],0,0,0,0.25
at://did:plc:pjlfw5ebq3hqxpbrqm4xfhrp/app.bsky.feed.post/3lbyartdr2k2y,Right wingers who claim to be vaccine injured and therefore vaccines shouldn't exist are fascists and I wish you the worst.,smollestbunny2.bsky.social,[],3,2,0,-0.5435
at://did:plc:twwzj2thutlavnqerj3cgur5/app.bsky.feed.post/3lbyapito2224,"It will definitely be bad. The idea of medical tourism out of the US for vaccines seems crazy, yet that's apparently the goal. Which obviously severely limits reach.

I think science will prevail again eventually, but only after a lot of unnecessary injury and death.",jmalkin.bsky.social,[],3,0,0,-0.9201
at://did:plc:awiakoljw62phxud6ee3oaij/app.bsky.feed.post/3lbyan3id422s,"How often does that actually happen?  Are you opposed to all vaccines or just the Covid vaccines?  Measles, Mumps, Polio, Smallpox... you want those diseases to come back?",jenny5309.bsky.social,[],1,0,0,0.212
at://did:plc:fv2nxxac24oxk5fqztfazyuc/app.bsky.feed.post/3lbyamxovec2g,"All billionaires have lost their humanity and don't control social media to better society. Elon Musk intentionally pushed the Hyperloop to stop development of high speed rail in California. Bill Gates fights against open source medicine (vaccines and patents). 

They just want to exploit humanity",theserfstv.bsky.social,[],224,2,50,-0.5267
at://did:plc:4yvwezlfspprbs2qp6mpncuw/app.bsky.feed.post/3lbyampbo4s2y,You just don't know what's in these vaccines! 😆😂🤣,drsoop.bsky.social,[],0,0,0,0.8356
at://did:plc:5bndemfqtddw7s3f3xalg4mf/app.bsky.feed.post/3lbyalgyhak2o,Thanks John. Covid isn’t really seasonal (yet) and in fact there is often a summer Xmas peak. I wish they’d hurry up. I’m not understanding what the TGA issue is exactly. When are we going to start manufacturing our own vaccines?,erialc.bsky.social,[],5,0,1,0.6808
at://did:plc:4jlpmmee26iem4yx5ytiruds/app.bsky.feed.post/3lbyakai6ms26,Special populations like non-verbal children aren't my forte.  I'd encourage a parent with such a child to bring them in for evaluation if they were concerned.  Most cases are within 2 weeks of vaccination.  Myocarditis from covid vaccines is quite rare in general.  covid19.nih.gov/news-and-sto...,doctorleroy.bsky.social,[],0,0,0,0.8176
at://did:plc:iszl3urrjybkykuamj2tz7ei/app.bsky.feed.post/3lbyafhsqnc2q,"RFK compared CDC to 'Nazi death camps' and child vaccines to church sex abuse: report

www.rawstory.com/robert-f-ken...",zg4ever.bsky.social,[],0,0,0,-0.8442
at://did:plc:fvqon5z2okzclxgvkrzjep6c/app.bsky.feed.post/3lbyadb3cxc2o,"Is it normal for a provider to lie about the blood tests she ordered and get u tested for immunities from vaccines and drugs?

Like not cool to assume I'm lying about not doing drugs, but about vaccines? Really? Why would I lie about not getting vaxxed for TB lmaoooo",whoreticia-addams.bsky.social,[],0,0,0,-0.3551
at://did:plc:mvzxcopxl7477vdjw6fqutgh/app.bsky.feed.post/3lbyac7gmu227,,elfsternberg.bsky.social,[],3,0,2,0.0
at://did:plc:qpt6lgtx723plj4qwrikcwuz/app.bsky.feed.post/3lbyac77idk2t,That dude was probably having a really suck few weeks with all the “vaccine flu” 😂. But I like it! Heck we don’t even think about how we may need to check for vaccines when traveling but we should. 😂 I went on a med once putting me at risk for TB & I was like “want me to fly to Morocco for a vax?”,ladyozma.bsky.social,[],1,0,0,0.8336
at://did:plc:b4sjd5kgkb43czvzd766z6du/app.bsky.feed.post/3lbyabioj2c2y,"Like everything all at once. WWII, The Cold War, female bodily autonomy, vaccines, tariffs (we had a tea party about that!), the reason people migrated away from Europe, etc. I could keep going, but it’s pretty depressing.",nicho1i1ong.bsky.social,[],0,0,0,0.3274
at://did:plc:bxd55ss64v6ywvqygrgyzxb6/app.bsky.feed.post/3lbyaaq2o4c2b,"Nope he said people shouldn't take vaccines. He has said that repeatedly many, many times  Do you anti science magas have any clue what you are talking about your post vays you don't",bettycozatt.bsky.social,[],0,0,0,-0.3182
at://did:plc:4jlpmmee26iem4yx5ytiruds/app.bsky.feed.post/3lbya7aiqws26,"Happy to expand more on the risks of myocarditis, and balancing risk/benefit for covid vaccines in low risk populations (like kids).  I offer covid vaccines to all my pediatric patients, but the amount of benefit they get from it is low enough that I don't push them if the parents aren't interested.",doctorleroy.bsky.social,[],1,0,0,0.1106
at://did:plc:pjlfw5ebq3hqxpbrqm4xfhrp/app.bsky.feed.post/3lbya6vrgmc2y,Go and get all your fucking vaccines before they aren't available any more,smollestbunny2.bsky.social,[],4,0,0,0.0
at://did:plc:x6iqctx46epsl6bj6iuvgzia/app.bsky.feed.post/3lbya5v2ins2g,Not an anti vaxxer.  I just have a brain!!!  I suppose there is no correlation with childhood vaccines schedule and Autism.  You really are brainwashed.,joebiten8.bsky.social,[],0,0,0,-0.2764
